timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_1_loss,path_2_loss,total_loss
0,24.873842732581892,path_1,2.0,path_1,4.25,path_1,2.0,path_1,2.0,path_1,2.36,path_1,2.0,path_1,4.27,path_1,2.0,path_1,2.0,path_1,2.0,7.87,23.02,0.0,0.0,0.0
1,34.87384273258189,path_1,3.0,path_1,5.25,path_1,3.0,path_1,3.0,path_1,3.36,path_1,3.0,path_1,5.27,path_1,3.0,path_1,3.0,path_1,3.0,24.87,0,0.0,0.0,0.0
2,44.87384273258189,path_1,4.0,path_1,6.25,path_1,4.0,path_1,4.0,path_1,4.36,path_1,4.0,path_1,6.27,path_1,4.0,path_1,4.0,path_1,4.0,34.87,0,0.0,0.0,0.0
3,54.87384273258189,path_1,5.0,path_1,7.25,path_1,5.0,path_1,5.0,path_1,5.36,path_1,5.0,path_1,7.27,path_1,5.0,path_1,5.0,path_1,5.0,44.87,0,0.0,0.0,0.0
4,64.87384273258189,path_1,6.0,path_1,8.25,path_1,6.0,path_1,6.0,path_1,6.36,path_1,6.0,path_1,8.27,path_1,6.0,path_1,6.0,path_1,6.0,54.87,0,0.0,0.0,0.0
5,74.87384273258189,path_1,7.0,path_1,9.25,path_1,7.0,path_1,7.0,path_1,7.36,path_1,7.0,path_1,9.27,path_1,7.0,path_1,7.0,path_1,7.0,64.87,0,0.0,0.0,0.0
6,84.87384273258189,path_1,8.0,path_1,10.25,path_1,8.0,path_1,8.0,path_1,8.36,path_1,8.0,path_1,10.27,path_1,8.0,path_1,8.0,path_1,8.0,74.87,0,0.0,0.0,0.0
7,94.87384273258189,path_1,9.0,path_1,11.25,path_1,9.0,path_1,9.0,path_1,9.36,path_1,9.0,path_1,11.27,path_1,9.0,path_1,9.0,path_1,9.0,84.87,0,0.0,0.0,0.0
8,104.87384273258189,path_1,10.0,path_1,12.25,path_1,10.0,path_1,10.0,path_1,10.36,path_1,10.0,path_1,12.27,path_1,10.0,path_1,10.0,path_1,10.0,94.87,0,0.0,0.0,0.0
9,114.87384273258189,path_1,11.0,path_1,13.25,path_1,11.0,path_1,11.0,path_1,11.36,path_1,11.0,path_1,13.27,path_1,11.0,path_1,11.0,path_1,11.0,104.87,0,0.0,0.0,0.0
10,124.87384273258189,path_1,12.0,path_1,14.25,path_1,12.0,path_1,12.0,path_1,12.36,path_1,12.0,path_1,14.27,path_1,12.0,path_1,12.0,path_1,12.0,114.87,0,0.0,0.0,0.0
11,134.8738427325819,path_1,13.0,path_1,15.25,path_1,13.0,path_1,13.0,path_1,13.36,path_1,13.0,path_1,15.27,path_1,13.0,path_1,13.0,path_1,13.0,124.87,0,0.0,0.0,0.0
12,144.8738427325819,path_1,14.0,path_1,16.25,path_1,14.0,path_1,14.0,path_1,14.36,path_1,14.0,path_1,16.27,path_1,14.0,path_1,14.0,path_1,14.0,134.87,0,0.0,0.0,0.0
13,154.8738427325819,path_1,15.0,path_1,17.25,path_1,15.0,path_1,15.0,path_1,15.36,path_1,15.0,path_1,17.27,path_1,15.0,path_1,15.0,path_1,15.0,144.87,0,0.0,0.0,0.0
14,164.8738427325819,path_1,16.0,path_1,18.25,path_1,16.0,path_1,16.0,path_1,16.36,path_1,16.0,path_1,18.27,path_1,16.0,path_1,16.0,path_1,16.0,154.87,0,0.0,0.0,0.0
15,174.8738427325819,path_1,17.0,path_1,19.25,path_1,17.0,path_1,17.0,path_1,17.36,path_1,17.0,path_1,19.27,path_1,17.0,path_1,17.0,path_1,17.0,164.87,0,0.0,0.0,0.0
16,184.8738427325819,path_1,18.0,path_1,20.25,path_1,18.0,path_1,18.0,path_1,18.36,path_1,18.0,path_1,20.27,path_1,18.0,path_1,18.0,path_1,18.0,174.87,0,0.0,0.0,0.0
17,194.8738427325819,path_1,19.0,path_1,21.25,path_1,19.0,path_1,19.0,path_1,19.36,path_1,19.0,path_1,21.27,path_1,19.0,path_1,19.0,path_1,19.0,184.87,0,0.0,0.0,0.0
18,204.8738427325819,path_1,20.0,path_1,22.25,path_1,20.0,path_1,20.0,path_1,20.36,path_1,20.0,path_1,22.27,path_1,20.0,path_1,20.0,path_1,20.0,194.87,0,0.0,0.0,0.0
19,102.43692136629095,path_1,10.0,path_1,11.12,path_1,10.0,path_1,10.0,path_1,10.18,path_1,10.0,path_1,11.14,path_1,10.0,path_1,10.0,path_1,10.0,204.87,0,4.87,0.0,4.87
20,112.43692136629095,path_1,11.0,path_1,12.12,path_1,11.0,path_1,11.0,path_1,11.18,path_1,11.0,path_1,12.14,path_1,11.0,path_1,11.0,path_1,11.0,102.44,0,0.0,0.0,0.0
21,122.43692136629095,path_1,12.0,path_1,13.12,path_1,12.0,path_1,12.0,path_1,12.18,path_1,12.0,path_1,13.14,path_1,12.0,path_1,12.0,path_1,12.0,112.44,0,0.0,0.0,0.0
22,132.43692136629096,path_1,13.0,path_1,14.12,path_1,13.0,path_1,13.0,path_1,13.18,path_1,13.0,path_1,14.14,path_1,13.0,path_1,13.0,path_1,13.0,122.44,0,0.0,0.0,0.0
23,142.43692136629096,path_1,14.0,path_1,15.12,path_1,14.0,path_1,14.0,path_1,14.18,path_1,14.0,path_1,15.14,path_1,14.0,path_1,14.0,path_1,14.0,132.44,0,0.0,0.0,0.0
24,152.43692136629096,path_1,15.0,path_1,16.12,path_1,15.0,path_1,15.0,path_1,15.18,path_1,15.0,path_1,16.14,path_1,15.0,path_1,15.0,path_1,15.0,142.44,0,0.0,0.0,0.0
25,162.43692136629096,path_1,16.0,path_1,17.12,path_1,16.0,path_1,16.0,path_1,16.18,path_1,16.0,path_1,17.14,path_1,16.0,path_1,16.0,path_1,16.0,152.44,0,0.0,0.0,0.0
26,172.43692136629096,path_1,17.0,path_1,18.12,path_1,17.0,path_1,17.0,path_1,17.18,path_1,17.0,path_1,18.14,path_1,17.0,path_1,17.0,path_1,17.0,162.44,0,0.0,0.0,0.0
27,182.43692136629096,path_1,18.0,path_1,19.12,path_1,18.0,path_1,18.0,path_1,18.18,path_1,18.0,path_1,19.14,path_1,18.0,path_1,18.0,path_1,18.0,172.44,0,0.0,0.0,0.0
28,192.43692136629096,path_1,19.0,path_1,20.12,path_1,19.0,path_1,19.0,path_1,19.18,path_1,19.0,path_1,20.14,path_1,19.0,path_1,19.0,path_1,19.0,182.44,0,0.0,0.0,0.0
29,202.43692136629096,path_1,20.0,path_1,21.12,path_1,20.0,path_1,20.0,path_1,20.18,path_1,20.0,path_1,21.14,path_1,20.0,path_1,20.0,path_1,20.0,192.44,0,0.0,0.0,0.0
30,101.21846068314548,path_1,10.0,path_1,10.56,path_1,10.0,path_1,10.0,path_1,10.09,path_1,10.0,path_1,10.57,path_1,10.0,path_1,10.0,path_1,10.0,202.44,0,2.44,0.0,2.44
31,111.21846068314548,path_1,11.0,path_1,11.56,path_1,11.0,path_1,11.0,path_1,11.09,path_1,11.0,path_1,11.57,path_1,11.0,path_1,11.0,path_1,11.0,101.22,0,0.0,0.0,0.0
32,121.21846068314548,path_1,12.0,path_1,12.56,path_1,12.0,path_1,12.0,path_1,12.09,path_1,12.0,path_1,12.57,path_1,12.0,path_1,12.0,path_1,12.0,111.22,0,0.0,0.0,0.0
33,131.21846068314548,path_1,13.0,path_1,13.56,path_1,13.0,path_1,13.0,path_1,13.09,path_1,13.0,path_1,13.57,path_1,13.0,path_1,13.0,path_1,13.0,121.22,0,0.0,0.0,0.0
34,141.21846068314548,path_1,14.0,path_1,14.56,path_1,14.0,path_1,14.0,path_1,14.09,path_1,14.0,path_1,14.57,path_1,14.0,path_1,14.0,path_1,14.0,131.22,0,0.0,0.0,0.0
35,151.21846068314548,path_1,15.0,path_1,15.56,path_1,15.0,path_1,15.0,path_1,15.09,path_1,15.0,path_1,15.57,path_1,15.0,path_1,15.0,path_1,15.0,141.22,0,0.0,0.0,0.0
36,161.21846068314548,path_1,16.0,path_1,16.56,path_1,16.0,path_1,16.0,path_1,16.09,path_1,16.0,path_1,16.57,path_1,16.0,path_1,16.0,path_1,16.0,151.22,0,0.0,0.0,0.0
37,171.21846068314548,path_1,17.0,path_1,17.56,path_1,17.0,path_1,17.0,path_1,17.09,path_1,17.0,path_1,17.57,path_1,17.0,path_1,17.0,path_1,17.0,161.22,0,0.0,0.0,0.0
38,181.21846068314548,path_1,18.0,path_1,18.56,path_1,18.0,path_1,18.0,path_1,18.09,path_1,18.0,path_1,18.57,path_1,18.0,path_1,18.0,path_1,18.0,171.22,0,0.0,0.0,0.0
39,191.21846068314548,path_1,19.0,path_1,19.56,path_1,19.0,path_1,19.0,path_1,19.09,path_1,19.0,path_1,19.57,path_1,19.0,path_1,19.0,path_1,19.0,181.22,0,0.0,0.0,0.0
40,201.21846068314548,path_1,20.0,path_1,20.56,path_1,20.0,path_1,20.0,path_1,20.09,path_1,20.0,path_1,20.57,path_1,20.0,path_1,20.0,path_1,20.0,191.22,0,0.0,0.0,0.0
