timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,total_loss,path_2_loss,path_3_loss
0,33.097530932365636,path_1,4.24,path_1,3.73,path_1,4.32,path_1,2.0,path_1,4.35,path_1,2.0,path_1,4.82,path_1,2.0,path_1,3.62,path_1,2.0,19.1,0,11.61,0.0,0.0,0.0,0.0
1,43.097530932365636,path_1,5.24,path_1,4.73,path_1,5.32,path_1,3.0,path_1,5.35,path_1,3.0,path_1,5.82,path_1,3.0,path_1,4.62,path_1,3.0,33.1,0,0,0.0,0.0,0.0,0.0
2,53.097530932365636,path_1,6.24,path_1,5.73,path_1,6.32,path_1,4.0,path_1,6.35,path_1,4.0,path_1,6.82,path_1,4.0,path_1,5.62,path_1,4.0,43.1,0,0,0.0,0.0,0.0,0.0
3,63.097530932365636,path_1,7.24,path_1,6.73,path_1,7.32,path_1,5.0,path_1,7.35,path_1,5.0,path_1,7.82,path_1,5.0,path_1,6.62,path_1,5.0,53.1,0,0,0.0,0.0,0.0,0.0
4,73.09753093236564,path_1,8.24,path_1,7.73,path_1,8.32,path_1,6.0,path_1,8.35,path_1,6.0,path_1,8.82,path_1,6.0,path_1,7.62,path_1,6.0,63.1,0,0,0.0,0.0,0.0,0.0
5,83.09753093236564,path_1,9.24,path_1,8.73,path_1,9.32,path_1,7.0,path_1,9.35,path_1,7.0,path_1,9.82,path_1,7.0,path_1,8.62,path_1,7.0,73.1,0,0,0.0,0.0,0.0,0.0
6,93.09753093236564,path_1,10.24,path_1,9.73,path_1,10.32,path_1,8.0,path_1,10.35,path_1,8.0,path_1,10.82,path_1,8.0,path_1,9.62,path_1,8.0,83.1,0,0,0.0,0.0,0.0,0.0
7,103.09753093236564,path_1,11.24,path_1,10.73,path_1,11.32,path_1,9.0,path_1,11.35,path_1,9.0,path_1,11.82,path_1,9.0,path_1,10.62,path_1,9.0,93.1,0,0,0.0,0.0,0.0,0.0
8,51.54876546618282,path_1,5.62,path_1,5.37,path_1,5.66,path_1,4.5,path_1,5.68,path_1,4.5,path_1,5.91,path_1,4.5,path_1,5.31,path_1,4.5,103.1,0,0,3.1,3.1,0.0,0.0
9,61.54876546618282,path_1,6.62,path_1,6.37,path_1,6.66,path_1,5.5,path_1,6.68,path_1,5.5,path_1,6.91,path_1,5.5,path_1,6.31,path_1,5.5,51.55,0,0,0.0,0.0,0.0,0.0
10,71.54876546618281,path_1,7.62,path_1,7.37,path_1,7.66,path_1,6.5,path_1,7.68,path_1,6.5,path_1,7.91,path_1,6.5,path_1,7.31,path_1,6.5,61.55,0,0,0.0,0.0,0.0,0.0
11,81.54876546618281,path_1,8.62,path_1,8.37,path_1,8.66,path_1,7.5,path_1,8.68,path_1,7.5,path_1,8.91,path_1,7.5,path_1,8.31,path_1,7.5,71.55,0,0,0.0,0.0,0.0,0.0
12,91.54876546618281,path_1,9.62,path_1,9.37,path_1,9.66,path_1,8.5,path_1,9.68,path_1,8.5,path_1,9.91,path_1,8.5,path_1,9.31,path_1,8.5,81.55,0,0,0.0,0.0,0.0,0.0
13,101.54876546618281,path_1,10.62,path_1,10.37,path_1,10.66,path_1,9.5,path_1,10.68,path_1,9.5,path_1,10.91,path_1,9.5,path_1,10.31,path_1,9.5,91.55,0,0,0.0,0.0,0.0,0.0
14,50.77438273309141,path_1,5.31,path_1,5.18,path_1,5.33,path_1,4.75,path_1,5.34,path_1,4.75,path_1,5.45,path_1,4.75,path_1,5.16,path_1,4.75,101.55,0,0,1.55,1.55,0.0,0.0
15,60.77438273309141,path_1,6.31,path_1,6.18,path_1,6.33,path_1,5.75,path_1,6.34,path_1,5.75,path_1,6.45,path_1,5.75,path_1,6.16,path_1,5.75,50.77,0,0,0.0,0.0,0.0,0.0
16,70.77438273309141,path_1,7.31,path_1,7.18,path_1,7.33,path_1,6.75,path_1,7.34,path_1,6.75,path_1,7.45,path_1,6.75,path_1,7.16,path_1,6.75,60.77,0,0,0.0,0.0,0.0,0.0
17,80.77438273309141,path_1,8.31,path_1,8.18,path_1,8.33,path_1,7.75,path_1,8.34,path_1,7.75,path_1,8.45,path_1,7.75,path_1,8.16,path_1,7.75,70.77,0,0,0.0,0.0,0.0,0.0
18,90.77438273309141,path_1,9.31,path_1,9.18,path_1,9.33,path_1,8.75,path_1,9.34,path_1,8.75,path_1,9.45,path_1,8.75,path_1,9.16,path_1,8.75,80.77,0,0,0.0,0.0,0.0,0.0
19,100.77438273309141,path_1,10.31,path_1,10.18,path_1,10.33,path_1,9.75,path_1,10.34,path_1,9.75,path_1,10.45,path_1,9.75,path_1,10.16,path_1,9.75,90.77,0,0,0.0,0.0,0.0,0.0
20,50.38719136654571,path_1,5.16,path_1,5.09,path_1,5.17,path_1,4.88,path_1,5.17,path_1,4.88,path_1,5.23,path_1,4.88,path_1,5.08,path_1,4.88,100.77,0,0,0.77,0.77,0.0,0.0
21,60.38719136654571,path_1,6.16,path_1,6.09,path_1,6.17,path_1,5.88,path_1,6.17,path_1,5.88,path_1,6.23,path_1,5.88,path_1,6.08,path_1,5.88,50.39,0,0,0.0,0.0,0.0,0.0
22,70.38719136654571,path_1,7.16,path_1,7.09,path_1,7.17,path_1,6.88,path_1,7.17,path_1,6.88,path_1,7.23,path_1,6.88,path_1,7.08,path_1,6.88,60.39,0,0,0.0,0.0,0.0,0.0
23,80.38719136654571,path_1,8.16,path_1,8.09,path_1,8.17,path_1,7.88,path_1,8.17,path_1,7.88,path_1,8.23,path_1,7.88,path_1,8.08,path_1,7.88,70.39,0,0,0.0,0.0,0.0,0.0
24,90.38719136654571,path_1,9.16,path_1,9.09,path_1,9.17,path_1,8.88,path_1,9.17,path_1,8.88,path_1,9.23,path_1,8.88,path_1,9.08,path_1,8.88,80.39,0,0,0.0,0.0,0.0,0.0
25,100.38719136654571,path_1,10.16,path_1,10.09,path_1,10.17,path_1,9.88,path_1,10.17,path_1,9.88,path_1,10.23,path_1,9.88,path_1,10.08,path_1,9.88,90.39,0,0,0.0,0.0,0.0,0.0
26,50.193595683272854,path_1,5.08,path_1,5.05,path_1,5.08,path_1,4.94,path_1,5.08,path_1,4.94,path_1,5.11,path_1,4.94,path_1,5.04,path_1,4.94,100.39,0,0,0.39,0.39,0.0,0.0
27,60.193595683272854,path_1,6.08,path_1,6.05,path_1,6.08,path_1,5.94,path_1,6.08,path_1,5.94,path_1,6.11,path_1,5.94,path_1,6.04,path_1,5.94,50.19,0,0,0.0,0.0,0.0,0.0
28,70.19359568327285,path_1,7.08,path_1,7.05,path_1,7.08,path_1,6.94,path_1,7.08,path_1,6.94,path_1,7.11,path_1,6.94,path_1,7.04,path_1,6.94,60.19,0,0,0.0,0.0,0.0,0.0
29,80.19359568327285,path_1,8.08,path_1,8.05,path_1,8.08,path_1,7.94,path_1,8.08,path_1,7.94,path_1,8.11,path_1,7.94,path_1,8.04,path_1,7.94,70.19,0,0,0.0,0.0,0.0,0.0
30,90.19359568327285,path_1,9.08,path_1,9.05,path_1,9.08,path_1,8.94,path_1,9.08,path_1,8.94,path_1,9.11,path_1,8.94,path_1,9.04,path_1,8.94,80.19,0,0,0.0,0.0,0.0,0.0
31,100.19359568327285,path_1,10.08,path_1,10.05,path_1,10.08,path_1,9.94,path_1,10.08,path_1,9.94,path_1,10.11,path_1,9.94,path_1,10.04,path_1,9.94,90.19,0,0,0.0,0.0,0.0,0.0
32,50.09679784163642,path_1,5.04,path_1,5.02,path_1,5.04,path_1,4.97,path_1,5.04,path_1,4.97,path_1,5.06,path_1,4.97,path_1,5.02,path_1,4.97,100.19,0,0,0.19,0.19,0.0,0.0
33,60.09679784163642,path_1,6.04,path_1,6.02,path_1,6.04,path_1,5.97,path_1,6.04,path_1,5.97,path_1,6.06,path_1,5.97,path_1,6.02,path_1,5.97,50.1,0,0,0.0,0.0,0.0,0.0
34,70.09679784163643,path_1,7.04,path_1,7.02,path_1,7.04,path_1,6.97,path_1,7.04,path_1,6.97,path_1,7.06,path_1,6.97,path_1,7.02,path_1,6.97,60.1,0,0,0.0,0.0,0.0,0.0
35,80.09679784163643,path_1,8.04,path_1,8.02,path_1,8.04,path_1,7.97,path_1,8.04,path_1,7.97,path_1,8.06,path_1,7.97,path_1,8.02,path_1,7.97,70.1,0,0,0.0,0.0,0.0,0.0
36,90.09679784163643,path_1,9.04,path_1,9.02,path_1,9.04,path_1,8.97,path_1,9.04,path_1,8.97,path_1,9.06,path_1,8.97,path_1,9.02,path_1,8.97,80.1,0,0,0.0,0.0,0.0,0.0
37,100.09679784163643,path_1,10.04,path_1,10.02,path_1,10.04,path_1,9.97,path_1,10.04,path_1,9.97,path_1,10.06,path_1,9.97,path_1,10.02,path_1,9.97,90.1,0,0,0.0,0.0,0.0,0.0
38,50.048398920818215,path_1,5.02,path_1,5.01,path_1,5.02,path_1,4.98,path_1,5.02,path_1,4.98,path_1,5.03,path_1,4.98,path_1,5.01,path_1,4.98,100.1,0,0,0.1,0.1,0.0,0.0
39,60.048398920818215,path_1,6.02,path_1,6.01,path_1,6.02,path_1,5.98,path_1,6.02,path_1,5.98,path_1,6.03,path_1,5.98,path_1,6.01,path_1,5.98,50.05,0,0,0.0,0.0,0.0,0.0
40,70.04839892081822,path_1,7.02,path_1,7.01,path_1,7.02,path_1,6.98,path_1,7.02,path_1,6.98,path_1,7.03,path_1,6.98,path_1,7.01,path_1,6.98,60.05,0,0,0.0,0.0,0.0,0.0
41,80.04839892081822,path_1,8.02,path_1,8.01,path_1,8.02,path_1,7.98,path_1,8.02,path_1,7.98,path_1,8.03,path_1,7.98,path_1,8.01,path_1,7.98,70.05,0,0,0.0,0.0,0.0,0.0
42,90.04839892081822,path_1,9.02,path_1,9.01,path_1,9.02,path_1,8.98,path_1,9.02,path_1,8.98,path_1,9.03,path_1,8.98,path_1,9.01,path_1,8.98,80.05,0,0,0.0,0.0,0.0,0.0
43,100.04839892081822,path_1,10.02,path_1,10.01,path_1,10.02,path_1,9.98,path_1,10.02,path_1,9.98,path_1,10.03,path_1,9.98,path_1,10.01,path_1,9.98,90.05,0,0,0.0,0.0,0.0,0.0
44,50.02419946040911,path_1,5.01,path_1,5.01,path_1,5.01,path_1,4.99,path_1,5.01,path_1,4.99,path_1,5.01,path_1,4.99,path_1,5.0,path_1,4.99,100.05,0,0,0.05,0.05,0.0,0.0
45,60.02419946040911,path_1,6.01,path_1,6.01,path_1,6.01,path_1,5.99,path_1,6.01,path_1,5.99,path_1,6.01,path_1,5.99,path_1,6.0,path_1,5.99,50.02,0,0,0.0,0.0,0.0,0.0
46,70.02419946040911,path_1,7.01,path_1,7.01,path_1,7.01,path_1,6.99,path_1,7.01,path_1,6.99,path_1,7.01,path_1,6.99,path_1,7.0,path_1,6.99,60.02,0,0,0.0,0.0,0.0,0.0
47,80.02419946040911,path_1,8.01,path_1,8.01,path_1,8.01,path_1,7.99,path_1,8.01,path_1,7.99,path_1,8.01,path_1,7.99,path_1,8.0,path_1,7.99,70.02,0,0,0.0,0.0,0.0,0.0
48,90.02419946040911,path_1,9.01,path_1,9.01,path_1,9.01,path_1,8.99,path_1,9.01,path_1,8.99,path_1,9.01,path_1,8.99,path_1,9.0,path_1,8.99,80.02,0,0,0.0,0.0,0.0,0.0
49,100.02419946040911,path_1,10.01,path_1,10.01,path_1,10.01,path_1,9.99,path_1,10.01,path_1,9.99,path_1,10.01,path_1,9.99,path_1,10.0,path_1,9.99,90.02,0,0,0.0,0.0,0.0,0.0
50,50.012099730204554,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,100.02,0,0,0.02,0.02,0.0,0.0
51,60.012099730204554,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,50.01,0,0,0.0,0.0,0.0,0.0
52,70.01209973020455,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,60.01,0,0,0.0,0.0,0.0,0.0
53,80.01209973020455,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,70.01,0,0,0.0,0.0,0.0,0.0
54,90.01209973020455,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,80.01,0,0,0.0,0.0,0.0,0.0
55,100.01209973020455,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,90.01,0,0,0.0,0.0,0.0,0.0
56,50.00604986510228,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.01,0,0,0.01,0.01,0.0,0.0
57,60.00604986510228,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.01,0,0,0.0,0.0,0.0,0.0
58,70.00604986510228,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.01,0,0,0.0,0.0,0.0,0.0
59,80.00604986510228,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.01,0,0,0.0,0.0,0.0,0.0
60,90.00604986510228,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.01,0,0,0.0,0.0,0.0,0.0
61,100.00604986510228,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.01,0,0,0.0,0.0,0.0,0.0
62,50.00302493255114,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.01,0,0,0.01,0.01,0.0,0.0
63,60.00302493255114,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
64,70.00302493255114,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
65,80.00302493255114,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
66,90.00302493255114,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
67,100.00302493255114,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
68,50.00151246627557,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
69,60.00151246627557,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
70,70.00151246627557,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
71,80.00151246627557,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
72,90.00151246627557,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
73,100.00151246627557,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
74,50.000756233137786,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
75,60.000756233137786,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
76,70.00075623313778,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
77,80.00075623313778,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
78,90.00075623313778,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
79,100.00075623313778,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
80,50.00037811656889,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
81,60.00037811656889,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
82,70.0003781165689,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
83,80.0003781165689,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
84,90.0003781165689,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
85,100.0003781165689,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
86,50.00018905828445,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
87,60.00018905828445,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
88,70.00018905828445,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
89,80.00018905828445,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
90,90.00018905828445,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
91,100.00018905828445,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
