timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,26.155800304430546,path_1,2.0,path_1,2.25,path_1,2.31,path_1,4.41,path_1,2.0,path_1,2.0,path_1,2.0,path_1,4.48,path_1,2.0,path_1,2.7,11.16,12.15,0,0.0,0.0,0.0,0.0
1,36.15580030443054,path_1,3.0,path_1,3.25,path_1,3.31,path_1,5.41,path_1,3.0,path_1,3.0,path_1,3.0,path_1,5.48,path_1,3.0,path_1,3.7,26.16,0,0,0.0,0.0,0.0,0.0
2,46.15580030443054,path_1,4.0,path_1,4.25,path_1,4.31,path_1,6.41,path_1,4.0,path_1,4.0,path_1,4.0,path_1,6.48,path_1,4.0,path_1,4.7,36.16,0,0,0.0,0.0,0.0,0.0
3,56.15580030443054,path_1,5.0,path_1,5.25,path_1,5.31,path_1,7.41,path_1,5.0,path_1,5.0,path_1,5.0,path_1,7.48,path_1,5.0,path_1,5.7,46.16,0,0,0.0,0.0,0.0,0.0
4,66.15580030443054,path_1,6.0,path_1,6.25,path_1,6.31,path_1,8.41,path_1,6.0,path_1,6.0,path_1,6.0,path_1,8.48,path_1,6.0,path_1,6.7,56.16,0,0,0.0,0.0,0.0,0.0
5,76.15580030443054,path_1,7.0,path_1,7.25,path_1,7.31,path_1,9.41,path_1,7.0,path_1,7.0,path_1,7.0,path_1,9.48,path_1,7.0,path_1,7.7,66.16,0,0,0.0,0.0,0.0,0.0
6,86.15580030443054,path_1,8.0,path_1,8.25,path_1,8.31,path_1,10.41,path_1,8.0,path_1,8.0,path_1,8.0,path_1,10.48,path_1,8.0,path_1,8.7,76.16,0,0,0.0,0.0,0.0,0.0
7,96.15580030443054,path_1,9.0,path_1,9.25,path_1,9.31,path_1,11.41,path_1,9.0,path_1,9.0,path_1,9.0,path_1,11.48,path_1,9.0,path_1,9.7,86.16,0,0,0.0,0.0,0.0,0.0
8,106.15580030443054,path_1,10.0,path_1,10.25,path_1,10.31,path_1,12.41,path_1,10.0,path_1,10.0,path_1,10.0,path_1,12.48,path_1,10.0,path_1,10.7,96.16,0,0,0.0,0.0,0.0,0.0
9,53.07790015221527,path_1,5.0,path_1,5.13,path_1,5.16,path_1,6.21,path_1,5.0,path_1,5.0,path_1,5.0,path_1,6.24,path_1,5.0,path_1,5.35,106.16,0,0,6.16,0.0,0.0,6.16
10,63.07790015221527,path_1,6.0,path_1,6.13,path_1,6.16,path_1,7.21,path_1,6.0,path_1,6.0,path_1,6.0,path_1,7.24,path_1,6.0,path_1,6.35,53.08,0,0,0.0,0.0,0.0,0.0
11,73.07790015221528,path_1,7.0,path_1,7.13,path_1,7.16,path_1,8.21,path_1,7.0,path_1,7.0,path_1,7.0,path_1,8.24,path_1,7.0,path_1,7.35,63.08,0,0,0.0,0.0,0.0,0.0
12,83.07790015221528,path_1,8.0,path_1,8.13,path_1,8.16,path_1,9.21,path_1,8.0,path_1,8.0,path_1,8.0,path_1,9.24,path_1,8.0,path_1,8.35,73.08,0,0,0.0,0.0,0.0,0.0
13,93.07790015221528,path_1,9.0,path_1,9.13,path_1,9.16,path_1,10.21,path_1,9.0,path_1,9.0,path_1,9.0,path_1,10.24,path_1,9.0,path_1,9.35,83.08,0,0,0.0,0.0,0.0,0.0
14,103.07790015221528,path_1,10.0,path_1,10.13,path_1,10.16,path_1,11.21,path_1,10.0,path_1,10.0,path_1,10.0,path_1,11.24,path_1,10.0,path_1,10.35,93.08,0,0,0.0,0.0,0.0,0.0
15,51.53895007610764,path_1,5.0,path_1,5.06,path_1,5.08,path_1,5.6,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.62,path_1,5.0,path_1,5.17,103.08,0,0,3.08,0.0,0.0,3.08
16,61.53895007610764,path_1,6.0,path_1,6.06,path_1,6.08,path_1,6.6,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.62,path_1,6.0,path_1,6.17,51.54,0,0,0.0,0.0,0.0,0.0
17,71.53895007610764,path_1,7.0,path_1,7.06,path_1,7.08,path_1,7.6,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.62,path_1,7.0,path_1,7.17,61.54,0,0,0.0,0.0,0.0,0.0
18,81.53895007610764,path_1,8.0,path_1,8.06,path_1,8.08,path_1,8.6,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.62,path_1,8.0,path_1,8.17,71.54,0,0,0.0,0.0,0.0,0.0
19,91.53895007610764,path_1,9.0,path_1,9.06,path_1,9.08,path_1,9.6,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.62,path_1,9.0,path_1,9.17,81.54,0,0,0.0,0.0,0.0,0.0
20,101.53895007610764,path_1,10.0,path_1,10.06,path_1,10.08,path_1,10.6,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.62,path_1,10.0,path_1,10.17,91.54,0,0,0.0,0.0,0.0,0.0
21,50.76947503805382,path_1,5.0,path_1,5.03,path_1,5.04,path_1,5.3,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.31,path_1,5.0,path_1,5.09,101.54,0,0,1.54,0.0,0.0,1.54
22,60.76947503805382,path_1,6.0,path_1,6.03,path_1,6.04,path_1,6.3,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.31,path_1,6.0,path_1,6.09,50.77,0,0,0.0,0.0,0.0,0.0
23,70.76947503805383,path_1,7.0,path_1,7.03,path_1,7.04,path_1,7.3,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.31,path_1,7.0,path_1,7.09,60.77,0,0,0.0,0.0,0.0,0.0
24,80.76947503805383,path_1,8.0,path_1,8.03,path_1,8.04,path_1,8.3,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.31,path_1,8.0,path_1,8.09,70.77,0,0,0.0,0.0,0.0,0.0
25,90.76947503805383,path_1,9.0,path_1,9.03,path_1,9.04,path_1,9.3,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.31,path_1,9.0,path_1,9.09,80.77,0,0,0.0,0.0,0.0,0.0
26,100.76947503805383,path_1,10.0,path_1,10.03,path_1,10.04,path_1,10.3,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.31,path_1,10.0,path_1,10.09,90.77,0,0,0.0,0.0,0.0,0.0
27,50.38473751902691,path_1,5.0,path_1,5.02,path_1,5.02,path_1,5.15,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.16,path_1,5.0,path_1,5.04,100.77,0,0,0.77,0.0,0.0,0.77
28,60.38473751902691,path_1,6.0,path_1,6.02,path_1,6.02,path_1,6.15,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.16,path_1,6.0,path_1,6.04,50.38,0,0,0.0,0.0,0.0,0.0
29,70.38473751902691,path_1,7.0,path_1,7.02,path_1,7.02,path_1,7.15,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.16,path_1,7.0,path_1,7.04,60.38,0,0,0.0,0.0,0.0,0.0
30,80.38473751902691,path_1,8.0,path_1,8.02,path_1,8.02,path_1,8.15,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.16,path_1,8.0,path_1,8.04,70.38,0,0,0.0,0.0,0.0,0.0
31,90.38473751902691,path_1,9.0,path_1,9.02,path_1,9.02,path_1,9.15,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.16,path_1,9.0,path_1,9.04,80.38,0,0,0.0,0.0,0.0,0.0
32,100.38473751902691,path_1,10.0,path_1,10.02,path_1,10.02,path_1,10.15,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.16,path_1,10.0,path_1,10.04,90.38,0,0,0.0,0.0,0.0,0.0
33,50.19236875951346,path_1,5.0,path_1,5.01,path_1,5.01,path_1,5.08,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.08,path_1,5.0,path_1,5.02,100.38,0,0,0.38,0.0,0.0,0.38
