timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,25.884693470296284,path_1,2.0,path_1,2.0,path_1,2.0,path_1,5.59,path_1,2.39,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.91,8.88,1.41,18.29,0.0,0.0,0.0,0.0
1,35.884693470296284,path_1,3.0,path_1,3.0,path_1,3.0,path_1,6.59,path_1,3.39,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,4.91,25.88,0,0,0.0,0.0,0.0,0.0
2,45.884693470296284,path_1,4.0,path_1,4.0,path_1,4.0,path_1,7.59,path_1,4.39,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,5.91,35.88,0,0,0.0,0.0,0.0,0.0
3,55.884693470296284,path_1,5.0,path_1,5.0,path_1,5.0,path_1,8.59,path_1,5.39,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,6.91,45.88,0,0,0.0,0.0,0.0,0.0
4,65.88469347029628,path_1,6.0,path_1,6.0,path_1,6.0,path_1,9.59,path_1,6.39,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,7.91,55.88,0,0,0.0,0.0,0.0,0.0
5,75.88469347029628,path_1,7.0,path_1,7.0,path_1,7.0,path_1,10.59,path_1,7.39,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,8.91,65.88,0,0,0.0,0.0,0.0,0.0
6,85.88469347029628,path_1,8.0,path_1,8.0,path_1,8.0,path_1,11.59,path_1,8.39,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,9.91,75.88,0,0,0.0,0.0,0.0,0.0
7,95.88469347029628,path_1,9.0,path_1,9.0,path_1,9.0,path_1,12.59,path_1,9.39,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,10.91,85.88,0,0,0.0,0.0,0.0,0.0
8,105.88469347029628,path_1,10.0,path_1,10.0,path_1,10.0,path_1,13.59,path_1,10.39,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,11.91,95.88,0,0,0.0,0.0,0.0,0.0
9,52.94234673514814,path_1,5.0,path_1,5.0,path_1,5.0,path_1,6.79,path_1,5.19,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.95,105.88,0,0,5.88,0.0,0.0,5.88
10,62.94234673514814,path_1,6.0,path_1,6.0,path_1,6.0,path_1,7.79,path_1,6.19,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.95,52.94,0,0,0.0,0.0,0.0,0.0
11,72.94234673514813,path_1,7.0,path_1,7.0,path_1,7.0,path_1,8.79,path_1,7.19,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.95,62.94,0,0,0.0,0.0,0.0,0.0
12,82.94234673514813,path_1,8.0,path_1,8.0,path_1,8.0,path_1,9.79,path_1,8.19,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.95,72.94,0,0,0.0,0.0,0.0,0.0
13,92.94234673514813,path_1,9.0,path_1,9.0,path_1,9.0,path_1,10.79,path_1,9.19,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.95,82.94,0,0,0.0,0.0,0.0,0.0
14,102.94234673514813,path_1,10.0,path_1,10.0,path_1,10.0,path_1,11.79,path_1,10.19,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.95,92.94,0,0,0.0,0.0,0.0,0.0
15,51.47117336757407,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.9,path_1,5.1,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.48,102.94,0,0,2.94,0.0,0.0,2.94
16,61.47117336757407,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.9,path_1,6.1,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.48,51.47,0,0,0.0,0.0,0.0,0.0
17,71.47117336757407,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.9,path_1,7.1,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.48,61.47,0,0,0.0,0.0,0.0,0.0
18,81.47117336757407,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.9,path_1,8.1,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.48,71.47,0,0,0.0,0.0,0.0,0.0
19,91.47117336757407,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.9,path_1,9.1,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.48,81.47,0,0,0.0,0.0,0.0,0.0
20,101.47117336757407,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.9,path_1,10.1,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.48,91.47,0,0,0.0,0.0,0.0,0.0
21,50.735586683787034,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.45,path_1,5.05,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.24,101.47,0,0,1.47,0.0,0.0,1.47
22,60.735586683787034,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.45,path_1,6.05,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.24,50.74,0,0,0.0,0.0,0.0,0.0
23,70.73558668378703,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.45,path_1,7.05,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.24,60.74,0,0,0.0,0.0,0.0,0.0
24,80.73558668378703,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.45,path_1,8.05,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.24,70.74,0,0,0.0,0.0,0.0,0.0
25,90.73558668378703,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.45,path_1,9.05,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.24,80.74,0,0,0.0,0.0,0.0,0.0
26,100.73558668378703,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.45,path_1,10.05,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.24,90.74,0,0,0.0,0.0,0.0,0.0
27,50.36779334189352,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.22,path_1,5.02,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.12,100.74,0,0,0.74,0.0,0.0,0.74
28,60.36779334189352,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.22,path_1,6.02,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.12,50.37,0,0,0.0,0.0,0.0,0.0
29,70.36779334189352,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.22,path_1,7.02,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.12,60.37,0,0,0.0,0.0,0.0,0.0
30,80.36779334189352,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.22,path_1,8.02,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.12,70.37,0,0,0.0,0.0,0.0,0.0
31,90.36779334189352,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.22,path_1,9.02,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.12,80.37,0,0,0.0,0.0,0.0,0.0
32,100.36779334189352,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.22,path_1,10.02,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.12,90.37,0,0,0.0,0.0,0.0,0.0
33,50.18389667094676,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.11,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.06,100.37,0,0,0.37,0.0,0.0,0.37
34,60.18389667094676,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.11,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.06,50.18,0,0,0.0,0.0,0.0,0.0
35,70.18389667094675,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.11,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.06,60.18,0,0,0.0,0.0,0.0,0.0
36,80.18389667094675,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.11,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.06,70.18,0,0,0.0,0.0,0.0,0.0
37,90.18389667094675,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.11,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.06,80.18,0,0,0.0,0.0,0.0,0.0
38,100.18389667094675,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.11,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.06,90.18,0,0,0.0,0.0,0.0,0.0
39,50.091948335473376,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.06,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.03,100.18,0,0,0.18,0.0,0.0,0.18
40,60.091948335473376,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.06,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.03,50.09,0,0,0.0,0.0,0.0,0.0
41,70.09194833547338,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.06,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.03,60.09,0,0,0.0,0.0,0.0,0.0
42,80.09194833547338,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.06,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.03,70.09,0,0,0.0,0.0,0.0,0.0
43,90.09194833547338,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.06,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.03,80.09,0,0,0.0,0.0,0.0,0.0
44,100.09194833547338,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.06,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.03,90.09,0,0,0.0,0.0,0.0,0.0
45,50.04597416773669,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.03,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,100.09,0,0,0.09,0.0,0.0,0.09
46,60.04597416773669,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.03,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,50.05,0,0,0.0,0.0,0.0,0.0
47,70.04597416773669,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.03,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,60.05,0,0,0.0,0.0,0.0,0.0
48,80.04597416773669,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.03,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,70.05,0,0,0.0,0.0,0.0,0.0
49,90.04597416773669,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.03,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,80.05,0,0,0.0,0.0,0.0,0.0
50,100.04597416773669,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.03,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,90.05,0,0,0.0,0.0,0.0,0.0
51,50.022987083868344,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,100.05,0,0,0.05,0.0,0.0,0.05
52,60.022987083868344,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,50.02,0,0,0.0,0.0,0.0,0.0
53,70.02298708386834,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,60.02,0,0,0.0,0.0,0.0,0.0
54,80.02298708386834,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,70.02,0,0,0.0,0.0,0.0,0.0
55,90.02298708386834,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,80.02,0,0,0.0,0.0,0.0,0.0
56,100.02298708386834,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,90.02,0,0,0.0,0.0,0.0,0.0
