file,experiment,strategy,agents,topology,oscillation,loss,throughput,fairness_std
results_experiment1_attribute_aware_10_agents.csv,experiment_1,attribute_aware,10,topology.json,6.24,0.06,74.86,43.1
results_experiment1_attribute_aware_25_agents.csv,experiment_1,attribute_aware,25,topology.json,7.6,0.17,75.52,43.45
results_experiment1_attribute_aware_50_agents.csv,experiment_1,attribute_aware,50,topology.json,10.68,0.93,76.55,44.11
results_experiment1_attribute_aware_100_agents.csv,experiment_1,attribute_aware,100,topology.json,20.32,49.75,149.94,86.24
results_experiment1_attribute_aware_150_agents.csv,experiment_1,attribute_aware,150,topology.json,8.6,50.72,150.44,86.56
results_experiment1_attribute_aware_250_agents.csv,experiment_1,attribute_aware,250,topology.json,13.47,151.41,250.73,144.29
results_experiment1_attribute_aware_500_agents.csv,experiment_1,attribute_aware,500,topology.json,28.21,403.83,501.44,288.43
results_experiment1_min_load_10_agents.csv,experiment_1,min_load,10,topology.json,7.1,0.0,20.01,5.71
results_experiment1_min_load_25_agents.csv,experiment_1,min_load,25,topology.json,17.76,0.0,50.02,14.27
results_experiment1_min_load_50_agents.csv,experiment_1,min_load,50,topology.json,34.5,0.0,100.09,28.78
results_experiment1_min_load_100_agents.csv,experiment_1,min_load,100,topology.json,68.89,50.27,200.16,57.56
results_experiment1_min_load_150_agents.csv,experiment_1,min_load,150,topology.json,105.88,150.05,299.93,85.56
results_experiment1_min_load_250_agents.csv,experiment_1,min_load,250,topology.json,171.65,349.87,499.9,143.82
results_experiment1_min_load_500_agents.csv,experiment_1,min_load,500,topology.json,353.12,850.86,999.78,285.13
results_experiment1_min_rtt_10_agents.csv,experiment_1,min_rtt,10,topology.json,6.14,0.05,74.84,43.09
results_experiment1_min_rtt_25_agents.csv,experiment_1,min_rtt,25,topology.json,7.78,0.3,75.72,43.59
results_experiment1_min_rtt_50_agents.csv,experiment_1,min_rtt,50,topology.json,10.43,0.94,76.57,44.14
results_experiment1_min_rtt_100_agents.csv,experiment_1,min_rtt,100,topology.json,21.17,50.12,149.94,86.31
results_experiment1_min_rtt_150_agents.csv,experiment_1,min_rtt,150,topology.json,9.01,50.56,150.41,86.45
results_experiment1_min_rtt_250_agents.csv,experiment_1,min_rtt,250,topology.json,14.08,151.54,250.73,144.27
results_experiment1_min_rtt_500_agents.csv,experiment_1,min_rtt,500,topology.json,28.73,403.94,501.46,288.43
