2025-07-31 15:28:08 - === Starting all simulations ===
2025-07-31 15:28:22 - 
=== Oscillation and Loss Comparison Summary ===
2025-07-31 15:28:22 - MIN_RTT with 10 agents Osc: 6.17, Loss: 0.06 Mbps, Fairness: 0.95, Efficiency: 74.88, Stability: 0.14, LossAvoid: 0.94
2025-07-31 15:28:22 - MIN_RTT with 25 agents Osc: 7.65, Loss: 0.18 Mbps, Fairness: 0.93, Efficiency: 75.53, Stability: 0.12, LossAvoid: 0.85
2025-07-31 15:28:22 - MIN_RTT with 50 agents Osc: 10.94, Loss: 0.83 Mbps, Fairness: 0.89, Efficiency: 76.41, Stability: 0.08, LossAvoid: 0.55
2025-07-31 15:28:22 - MIN_RTT with 100 agents Osc: 20.17, Loss: 49.71 Mbps, Fairness: 0.90, Efficiency: 149.95, Stability: 0.05, LossAvoid: 0.02
2025-07-31 15:28:22 - MIN_RTT with 150 agents Osc: 8.05, Loss: 50.70 Mbps, Fairness: 0.98, Efficiency: 150.43, Stability: 0.11, LossAvoid: 0.02
2025-07-31 15:28:22 - MIN_RTT with 250 agents Osc: 13.49, Loss: 151.42 Mbps, Fairness: 0.99, Efficiency: 250.71, Stability: 0.07, LossAvoid: 0.01
2025-07-31 15:28:22 - MIN_RTT with 500 agents Osc: 28.00, Loss: 403.78 Mbps, Fairness: 0.99, Efficiency: 501.46, Stability: 0.03, LossAvoid: 0.00
2025-07-31 15:28:22 - MIN_LOAD with 10 agents Osc: 7.24, Loss: 0.00 Mbps, Fairness: 1.00, Efficiency: 20.03, Stability: 0.12, LossAvoid: 1.00
2025-07-31 15:28:22 - MIN_LOAD with 25 agents Osc: 17.97, Loss: 0.00 Mbps, Fairness: 1.00, Efficiency: 50.05, Stability: 0.05, LossAvoid: 1.00
2025-07-31 15:28:22 - MIN_LOAD with 50 agents Osc: 34.34, Loss: 0.05 Mbps, Fairness: 1.00, Efficiency: 100.05, Stability: 0.03, LossAvoid: 0.95
2025-07-31 15:28:22 - MIN_LOAD with 100 agents Osc: 71.52, Loss: 50.31 Mbps, Fairness: 1.00, Efficiency: 200.15, Stability: 0.01, LossAvoid: 0.02
2025-07-31 15:28:22 - MIN_LOAD with 150 agents Osc: 103.22, Loss: 150.03 Mbps, Fairness: 1.00, Efficiency: 299.95, Stability: 0.01, LossAvoid: 0.01
2025-07-31 15:28:22 - MIN_LOAD with 250 agents Osc: 176.84, Loss: 350.23 Mbps, Fairness: 1.00, Efficiency: 499.89, Stability: 0.01, LossAvoid: 0.00
2025-07-31 15:28:22 - MIN_LOAD with 500 agents Osc: 342.98, Loss: 850.71 Mbps, Fairness: 1.00, Efficiency: 999.75, Stability: 0.00, LossAvoid: 0.00
