strategy,agents,oscillation,loss,fairness,efficiency,stability,loss_avoidance
min_rtt,10,6.5956,0.0506,0.9463,74.6963,0.1317,0.9518
min_rtt,25,8.0369,0.2341,0.9305,75.5358,0.1107,0.8103
min_rtt,50,10.7563,0.8759,0.8946,76.4807,0.0851,0.5331
min_rtt,100,20.1534,49.7004,0.8984,149.9372,0.0473,0.0197
min_rtt,150,8.2248,50.639,0.9851,150.4447,0.1084,0.0194
min_rtt,250,13.2994,151.4236,0.9854,250.7265,0.0699,0.0066
min_rtt,500,26.1945,403.7565,0.9855,501.4363,0.0368,0.0025
min_load,10,7.1264,0.0,0.9996,20.011,0.1231,1.0
min_load,25,17.8549,0.0,0.9992,50.0336,0.053,1.0
min_load,50,35.6789,0.1266,0.9994,100.0599,0.0273,0.8877
min_load,100,68.8681,50.3001,0.999,200.2005,0.0143,0.0195
min_load,150,106.0922,150.0868,0.9991,299.9392,0.0093,0.0066
min_load,250,171.1539,350.1723,0.9991,499.8871,0.0058,0.0028
min_load,500,353.1329,850.9178,0.9991,999.7454,0.0028,0.0012
attribute_aware,10,6.502,0.0219,0.9465,74.5645,0.1333,0.9786
attribute_aware,25,7.8456,0.3018,0.9303,75.739,0.1131,0.7681
attribute_aware,50,10.5167,0.8615,0.8954,76.459,0.0868,0.5372
attribute_aware,100,20.4156,49.6976,0.8975,149.9513,0.0467,0.0197
attribute_aware,150,8.2854,50.6252,0.9857,150.4437,0.1077,0.0194
attribute_aware,250,13.5526,151.4795,0.9845,250.7202,0.0687,0.0066
attribute_aware,500,27.3826,403.9247,0.9841,501.4077,0.0352,0.0025
round_robin,10,9.4485,0.0,0.9987,20.0267,0.0957,1.0
round_robin,25,23.6001,0.0,0.999,50.0438,0.0407,1.0
round_robin,50,47.2511,6.7501,0.9982,100.1501,0.0207,0.129
round_robin,100,94.2875,73.0076,0.999,199.9611,0.0105,0.0135
round_robin,150,141.4118,173.0063,0.9994,299.8966,0.007,0.0057
round_robin,250,235.696,373.0591,0.9991,499.8691,0.0042,0.0027
round_robin,500,471.4267,873.9368,0.999,999.79,0.0021,0.0011
weighted_round_robin,10,37.7213,0.1154,0.8722,122.3992,0.0258,0.8965
weighted_round_robin,25,48.5661,0.9087,0.8944,162.3657,0.0202,0.5239
weighted_round_robin,50,41.4819,4.6344,0.9253,246.5524,0.0235,0.1775
weighted_round_robin,100,36.0829,13.6934,0.9574,299.206,0.027,0.0681
weighted_round_robin,150,36.9587,23.9727,0.9585,327.0406,0.0263,0.04
weighted_round_robin,250,46.5041,60.8214,0.9475,388.1601,0.0211,0.0162
weighted_round_robin,500,81.5044,216.2245,0.9802,561.9449,0.0121,0.0046
epsilon_greedy,10,6.726,0.3229,0.9538,77.015,0.1294,0.7559
epsilon_greedy,25,9.0692,2.4472,0.9409,85.591,0.0993,0.2901
epsilon_greedy,50,12.2626,7.3591,0.9152,95.8701,0.0754,0.1196
epsilon_greedy,100,18.3895,32.2806,0.9159,144.9196,0.0516,0.03
epsilon_greedy,150,8.5653,49.9536,0.9889,169.6407,0.1045,0.0196
epsilon_greedy,250,14.2291,150.287,0.9881,283.3913,0.0657,0.0066
epsilon_greedy,500,25.0245,401.3147,0.9903,566.688,0.0384,0.0025
blest,10,6.8168,0.0,0.9991,20.0099,0.1279,1.0
blest,25,17.3147,0.0,0.9983,50.0544,0.0546,1.0
blest,50,34.4245,10.0327,0.9988,100.0993,0.0282,0.0906
blest,100,68.1641,109.6848,0.9994,199.9321,0.0145,0.009
blest,150,102.6522,209.627,0.9992,299.9321,0.0096,0.0047
blest,250,171.5508,409.6209,0.9993,499.8611,0.0058,0.0024
blest,500,343.5238,910.4329,0.9992,999.7731,0.0029,0.0011
