timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,23.289734649701842,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,5.29,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,4.29,10.4,15.52,0.0,0.0,0.0,0.0
1,33.28973464970184,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,6.29,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,23.29,0,0,0.0,0.0,0.0,0.0
2,43.28973464970184,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,7.29,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,33.29,0,0,0.0,0.0,0.0,0.0
3,53.28973464970184,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,8.29,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,43.29,0,0,0.0,0.0,0.0,0.0
4,63.28973464970184,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,9.29,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,53.29,0,0,0.0,0.0,0.0,0.0
5,73.28973464970184,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,10.29,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,63.29,0,0,0.0,0.0,0.0,0.0
6,83.28973464970184,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,11.29,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,73.29,0,0,0.0,0.0,0.0,0.0
7,93.28973464970184,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,12.29,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,83.29,0,0,0.0,0.0,0.0,0.0
8,103.28973464970184,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,13.29,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,93.29,0,0,0.0,0.0,0.0,0.0
9,51.64486732485092,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,6.64,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,103.29,0,0,3.29,0.0,0.0,3.29
10,61.64486732485092,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,7.64,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,51.64,0,0,0.0,0.0,0.0,0.0
11,71.64486732485092,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,8.64,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,61.64,0,0,0.0,0.0,0.0,0.0
12,81.64486732485092,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,9.64,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,71.64,0,0,0.0,0.0,0.0,0.0
13,91.64486732485092,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,10.64,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,81.64,0,0,0.0,0.0,0.0,0.0
14,101.64486732485092,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,11.64,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,91.64,0,0,0.0,0.0,0.0,0.0
15,50.82243366242546,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.82,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,101.64,0,0,1.64,0.0,0.0,1.64
16,60.82243366242546,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.82,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.82,0,0,0.0,0.0,0.0,0.0
17,70.82243366242545,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.82,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.82,0,0,0.0,0.0,0.0,0.0
18,80.82243366242545,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.82,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.82,0,0,0.0,0.0,0.0,0.0
19,90.82243366242545,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.82,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.82,0,0,0.0,0.0,0.0,0.0
20,100.82243366242545,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.82,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.82,0,0,0.0,0.0,0.0,0.0
21,50.41121683121273,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.41,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.82,0,0,0.82,0.0,0.0,0.82
22,60.41121683121273,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.41,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.41,0,0,0.0,0.0,0.0,0.0
23,70.41121683121273,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.41,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.41,0,0,0.0,0.0,0.0,0.0
24,80.41121683121273,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.41,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.41,0,0,0.0,0.0,0.0,0.0
25,90.41121683121273,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.41,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.41,0,0,0.0,0.0,0.0,0.0
26,100.41121683121273,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.41,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.41,0,0,0.0,0.0,0.0,0.0
27,50.20560841560636,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.21,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.41,0,0,0.41,0.0,0.0,0.41
28,60.20560841560636,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.21,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.21,0,0,0.0,0.0,0.0,0.0
29,70.20560841560636,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.21,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.21,0,0,0.0,0.0,0.0,0.0
30,80.20560841560636,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.21,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.21,0,0,0.0,0.0,0.0,0.0
31,90.20560841560636,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.21,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.21,0,0,0.0,0.0,0.0,0.0
32,100.20560841560636,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.21,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.21,0,0,0.0,0.0,0.0,0.0
33,50.10280420780318,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.1,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.21,0,0,0.21,0.0,0.0,0.21
34,60.10280420780318,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.1,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.1,0,0,0.0,0.0,0.0,0.0
35,70.10280420780319,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.1,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.1,0,0,0.0,0.0,0.0,0.0
36,80.10280420780319,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.1,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.1,0,0,0.0,0.0,0.0,0.0
37,90.10280420780319,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.1,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.1,0,0,0.0,0.0,0.0,0.0
38,100.10280420780319,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.1,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.1,0,0,0.0,0.0,0.0,0.0
39,50.051402103901594,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.05,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.1,0,0,0.1,0.0,0.0,0.1
40,60.051402103901594,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.05,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.05,0,0,0.0,0.0,0.0,0.0
41,70.0514021039016,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.05,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.05,0,0,0.0,0.0,0.0,0.0
42,80.0514021039016,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.05,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.05,0,0,0.0,0.0,0.0,0.0
43,90.0514021039016,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.05,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.05,0,0,0.0,0.0,0.0,0.0
44,100.0514021039016,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.05,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.05,0,0,0.0,0.0,0.0,0.0
45,50.0257010519508,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.03,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.05,0,0,0.05,0.0,0.0,0.05
