timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,34.54576076764552,path_1,2.0,path_3,2.0,path_1,2.0,path_1,4.97,path_1,4.07,path_1,2.0,path_1,5.37,path_1,2.0,path_1,5.49,path_1,4.65,23.84,7.61,2.88,0.0,0.0,0.0,0.0
1,43.54576076764552,path_1,3.0,path_1,2.0,path_1,3.0,path_1,5.97,path_1,5.07,path_1,3.0,path_1,6.37,path_1,3.0,path_1,6.49,path_1,5.65,32.55,0,2.0,0.0,0.0,0.0,0.0
2,47.893741778711366,path_1,4.0,path_3,2.0,path_1,4.0,path_1,6.97,path_1,6.07,path_1,4.0,path_1,7.37,path_1,4.0,path_1,7.49,path_3,2.0,43.55,0,0,0.0,0.0,0.0,0.0
3,56.893741778711366,path_1,5.0,path_1,2.0,path_1,5.0,path_1,7.97,path_1,7.07,path_1,5.0,path_1,8.37,path_1,5.0,path_1,8.49,path_3,3.0,43.89,0,4.0,0.0,0.0,0.0,0.0
4,64.89374177871137,path_1,6.0,path_1,3.0,path_1,6.0,path_1,8.97,path_1,8.07,path_1,6.0,path_1,9.37,path_1,6.0,path_1,9.49,path_1,2.0,53.89,0,3.0,0.0,0.0,0.0,0.0
5,74.89374177871137,path_1,7.0,path_1,4.0,path_1,7.0,path_1,9.97,path_1,9.07,path_1,7.0,path_1,10.37,path_1,7.0,path_1,10.49,path_1,3.0,64.89,0,0,0.0,0.0,0.0,0.0
6,84.89374177871137,path_1,8.0,path_1,5.0,path_1,8.0,path_1,10.97,path_1,10.07,path_1,8.0,path_1,11.37,path_1,8.0,path_1,11.49,path_1,4.0,74.89,0,0,0.0,0.0,0.0,0.0
7,87.89374177871137,path_1,9.0,path_1,6.0,path_1,9.0,path_1,11.97,path_1,11.07,path_3,2.0,path_1,12.37,path_1,9.0,path_1,12.49,path_1,5.0,84.89,0,0,0.0,0.0,0.0,0.0
8,85.40805192748458,path_1,10.0,path_1,7.0,path_1,10.0,path_1,12.97,path_1,12.07,path_1,2.0,path_1,13.37,path_1,10.0,path_2,2.0,path_1,6.0,85.89,0,2.0,0.0,0.0,0.0,0.0
9,89.40805192748458,path_1,11.0,path_1,8.0,path_1,11.0,path_1,13.97,path_1,13.07,path_1,3.0,path_1,14.37,path_1,11.0,path_1,2.0,path_2,2.0,83.41,2.0,0,0.0,0.0,0.0,0.0
