timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,65.04417930426887,path_1,2.0,path_1,3.69,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.16,path_1,2.0,path_1,5.2,path_1,2.0,path_2,5.6,path_3,2.35,path_1,2.0,path_1,2.25,path_1,2.0,path_1,2.0,path_1,4.77,path_1,2.0,path_1,2.0,path_1,2.0,path_1,4.04,17.09,30.74,38.37,0.0,0.0,0.0,0.0
1,80.40355350467917,path_1,3.0,path_2,2.0,path_1,3.0,path_1,3.0,path_1,3.0,path_3,2.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,4.16,path_1,3.0,path_1,6.2,path_1,3.0,path_1,2.0,path_1,2.0,path_1,3.0,path_1,3.25,path_1,3.0,path_1,3.0,path_1,5.77,path_1,3.0,path_1,3.0,path_1,3.0,path_1,5.04,57.09,5.6,2.35,0.0,0.0,0.0,0.0
2,101.40355350467917,path_1,4.0,path_1,2.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,2.0,path_2,2.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,5.16,path_1,4.0,path_1,7.2,path_1,4.0,path_1,3.0,path_1,3.0,path_1,4.0,path_1,4.25,path_1,4.0,path_1,4.0,path_1,6.77,path_1,4.0,path_1,4.0,path_1,4.0,path_1,6.04,76.4,2.0,2.0,0.0,0.0,0.0,0.0
3,116.15700613595911,path_1,5.0,path_1,3.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,3.0,path_1,2.0,path_2,2.0,path_1,5.0,path_1,5.0,path_1,6.16,path_1,5.0,path_1,8.2,path_1,5.0,path_1,4.0,path_1,4.0,path_1,5.0,path_3,2.0,path_1,5.0,path_2,2.0,path_1,7.77,path_1,5.0,path_1,5.0,path_1,5.0,path_1,7.04,99.4,2.0,0,0.0,0.0,0.0,0.0
4,60.578503067979554,path_1,2.5,path_1,1.5,path_1,2.5,path_1,2.5,path_1,2.5,path_1,1.5,path_1,1.0,path_1,2.0,path_1,2.5,path_1,2.5,path_1,3.08,path_1,2.5,path_1,4.1,path_1,2.5,path_1,2.0,path_1,2.0,path_1,2.5,path_1,2.0,path_3,2.0,path_1,2.0,path_1,3.88,path_1,2.5,path_1,2.5,path_1,2.5,path_1,3.52,110.16,4.0,2.0,10.16,0.0,0.0,10.16
5,81.4794418854781,path_1,3.5,path_1,2.5,path_1,3.5,path_1,3.5,path_1,3.5,path_1,2.5,path_1,2.0,path_1,3.0,path_1,3.5,path_1,3.5,path_1,4.08,path_1,3.5,path_3,2.0,path_1,3.5,path_1,3.0,path_1,3.0,path_1,3.5,path_1,3.0,path_1,2.0,path_1,3.0,path_1,4.88,path_1,3.5,path_1,3.5,path_1,3.5,path_1,4.52,58.58,0,2.0,0.0,0.0,0.0,0.0
6,105.4794418854781,path_1,4.5,path_1,3.5,path_1,4.5,path_1,4.5,path_1,4.5,path_1,3.5,path_1,3.0,path_1,4.0,path_1,4.5,path_1,4.5,path_1,5.08,path_1,4.5,path_1,2.0,path_1,4.5,path_1,4.0,path_1,4.0,path_1,4.5,path_1,4.0,path_1,3.0,path_1,4.0,path_1,5.88,path_1,4.5,path_1,4.5,path_1,4.5,path_1,5.52,79.48,0,2.0,0.0,0.0,0.0,0.0
7,52.48972094273905,path_3,2.0,path_1,1.75,path_1,2.25,path_1,2.25,path_1,2.25,path_2,2.0,path_1,1.5,path_1,2.0,path_3,2.0,path_1,2.25,path_1,2.54,path_1,2.25,path_1,1.0,path_1,2.25,path_1,2.0,path_1,2.0,path_1,2.25,path_1,2.0,path_1,1.5,path_1,2.0,path_1,2.94,path_1,2.25,path_1,2.25,path_1,2.25,path_1,2.76,105.48,0,0,5.48,0.0,0.0,5.48
8,73.98972094273904,path_1,2.0,path_1,2.75,path_1,3.25,path_1,3.25,path_1,3.25,path_1,2.0,path_1,2.5,path_1,3.0,path_1,2.0,path_1,3.25,path_1,3.54,path_1,3.25,path_1,2.0,path_1,3.25,path_1,3.0,path_1,3.0,path_1,3.25,path_1,3.0,path_3,2.0,path_1,3.0,path_1,3.94,path_1,3.25,path_1,3.25,path_1,3.25,path_1,3.76,46.49,2.0,4.0,0.0,0.0,0.0,0.0
9,95.45083739102535,path_1,3.0,path_1,3.75,path_1,4.25,path_1,4.25,path_1,4.25,path_1,3.0,path_1,3.5,path_1,4.0,path_1,3.0,path_1,4.25,path_3,2.0,path_1,4.25,path_1,3.0,path_1,4.25,path_1,4.0,path_1,4.0,path_1,4.25,path_1,4.0,path_1,2.0,path_1,4.0,path_1,4.94,path_1,4.25,path_1,4.25,path_1,4.25,path_1,4.76,71.99,0,2.0,0.0,0.0,0.0,0.0
