timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,agent_25_path,agent_25_cwnd,agent_26_path,agent_26_cwnd,agent_27_path,agent_27_cwnd,agent_28_path,agent_28_cwnd,agent_29_path,agent_29_cwnd,agent_30_path,agent_30_cwnd,agent_31_path,agent_31_cwnd,agent_32_path,agent_32_cwnd,agent_33_path,agent_33_cwnd,agent_34_path,agent_34_cwnd,agent_35_path,agent_35_cwnd,agent_36_path,agent_36_cwnd,agent_37_path,agent_37_cwnd,agent_38_path,agent_38_cwnd,agent_39_path,agent_39_cwnd,agent_40_path,agent_40_cwnd,agent_41_path,agent_41_cwnd,agent_42_path,agent_42_cwnd,agent_43_path,agent_43_cwnd,agent_44_path,agent_44_cwnd,agent_45_path,agent_45_cwnd,agent_46_path,agent_46_cwnd,agent_47_path,agent_47_cwnd,agent_48_path,agent_48_cwnd,agent_49_path,agent_49_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,126.11550470776959,path_3,2.0,path_3,2.0,path_1,2.0,path_1,3.1,path_1,2.0,path_1,2.0,path_1,2.7,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,5.1,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,4.68,path_1,4.69,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.6,path_1,2.0,path_1,2.0,path_1,5.32,path_1,2.0,path_1,2.0,path_1,2.0,path_1,4.81,path_1,3.72,path_1,2.0,path_1,2.0,path_1,5.83,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,4.56,path_1,2.0,path_2,2.0,path_3,2.0,path_2,2.0,path_1,2.0,path_1,2.0,path_1,2.0,43.47,59.21,58.8,0.0,0.0,0.0,0.0
1,70.14420830408208,path_1,2.0,path_1,2.0,path_2,2.0,path_1,1.55,path_1,1.0,path_1,1.0,path_1,1.35,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,2.55,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_2,2.0,path_1,2.34,path_1,2.34,path_1,1.0,path_1,1.0,path_1,1.0,path_3,2.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.8,path_1,1.0,path_1,1.0,path_1,2.66,path_1,1.0,path_1,1.0,path_1,1.0,path_1,2.4,path_1,1.86,path_1,1.0,path_1,1.0,path_3,2.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,2.28,path_1,1.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,1.0,path_1,1.0,path_1,1.0,116.12,4.0,6.0,16.12,0.0,0.0,16.12
2,114.86460645356539,path_1,3.0,path_1,3.0,path_1,2.0,path_1,2.55,path_1,2.0,path_1,2.0,path_1,2.35,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.55,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.34,path_1,3.34,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.8,path_1,2.0,path_1,2.0,path_1,3.66,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.4,path_1,2.86,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_2,2.0,path_1,2.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,2.0,path_1,2.0,path_1,2.0,62.14,4.0,4.0,0.0,0.0,0.0,0.0
3,60.8254130983922,path_1,1.5,path_1,1.5,path_1,1.0,path_1,1.28,path_1,1.0,path_1,1.0,path_1,1.18,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_2,2.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_3,2.0,path_1,1.67,path_1,1.67,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.4,path_1,1.0,path_1,1.0,path_2,2.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.7,path_1,1.43,path_1,1.0,path_1,1.0,path_1,1.0,path_2,2.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,2.0,path_1,1.0,path_1,1.5,path_1,1.5,path_1,1.5,path_1,1.0,path_1,1.0,path_1,1.0,112.86,2.0,0,12.86,0.0,0.0,12.86
4,106.8254130983922,path_1,2.5,path_1,2.5,path_2,2.0,path_1,2.28,path_1,2.0,path_1,2.0,path_1,2.18,path_1,2.0,path_1,2.0,path_1,2.0,path_2,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.67,path_1,2.67,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.4,path_1,2.0,path_1,2.0,path_1,2.0,path_3,2.0,path_1,2.0,path_1,2.0,path_1,2.7,path_1,2.43,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.0,path_1,2.0,path_1,2.5,path_1,2.5,path_1,2.5,path_1,2.0,path_1,2.0,path_1,2.0,52.83,6.0,2.0,0.0,0.0,0.0,0.0
5,58.1627065491961,path_1,1.25,path_2,2.0,path_1,2.0,path_1,1.14,path_1,1.0,path_1,1.0,path_1,1.09,path_1,1.0,path_1,1.0,path_1,1.0,path_1,2.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.33,path_1,1.34,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.2,path_1,1.0,path_3,2.0,path_1,1.0,path_1,2.0,path_1,1.0,path_1,1.0,path_1,1.35,path_1,1.22,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.0,path_1,1.5,path_1,1.0,path_1,1.25,path_1,1.25,path_1,1.25,path_1,1.0,path_1,1.0,path_1,1.0,100.83,4.0,2.0,0.83,0.0,0.0,0.83
6,105.1627065491961,path_1,2.25,path_1,2.0,path_1,3.0,path_1,2.14,path_1,2.0,path_1,2.0,path_1,2.09,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.33,path_1,2.34,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_3,2.0,path_1,2.0,path_1,2.2,path_2,2.0,path_1,2.0,path_1,2.0,path_3,2.0,path_3,2.0,path_1,2.0,path_1,2.35,path_1,2.22,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.5,path_1,2.0,path_1,2.25,path_1,2.25,path_1,2.25,path_1,2.0,path_1,2.0,path_1,2.0,54.16,2.0,2.0,0.0,0.0,0.0,0.0
7,148.1627065491961,path_1,3.25,path_1,3.0,path_1,4.0,path_1,3.14,path_1,3.0,path_1,3.0,path_1,3.09,path_1,3.0,path_1,3.0,path_3,2.0,path_1,4.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.33,path_1,3.34,path_2,2.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,2.0,path_1,3.0,path_1,3.2,path_1,2.0,path_1,3.0,path_1,3.0,path_1,2.0,path_1,2.0,path_1,3.0,path_1,3.35,path_1,3.22,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.5,path_1,3.0,path_1,3.25,path_1,3.25,path_1,3.25,path_2,2.0,path_1,3.0,path_1,3.0,97.16,2.0,6.0,0.0,0.0,0.0,0.0
8,80.58135327459804,path_1,1.62,path_1,1.5,path_1,2.0,path_1,1.57,path_1,1.5,path_1,1.5,path_1,1.54,path_1,1.5,path_1,1.5,path_1,2.0,path_1,2.0,path_1,1.5,path_1,1.5,path_1,1.5,path_1,1.5,path_1,1.5,path_3,2.0,path_1,1.67,path_1,1.67,path_1,2.0,path_1,1.5,path_1,1.5,path_1,1.5,path_1,1.5,path_1,1.0,path_1,1.5,path_1,1.6,path_2,2.0,path_1,1.5,path_1,1.5,path_1,1.0,path_1,1.0,path_1,1.5,path_1,1.68,path_1,1.61,path_1,1.5,path_1,1.5,path_1,1.5,path_1,1.5,path_3,2.0,path_1,1.5,path_1,1.5,path_1,1.75,path_1,1.5,path_1,1.62,path_1,1.62,path_1,1.62,path_2,3.0,path_1,1.5,path_3,2.0,142.16,4.0,2.0,42.16,0.0,0.0,42.16
9,123.58135327459804,path_1,2.62,path_2,2.0,path_1,3.0,path_1,2.57,path_1,2.5,path_1,2.5,path_1,2.54,path_1,2.5,path_1,2.5,path_1,3.0,path_2,2.0,path_1,2.5,path_1,2.5,path_1,2.5,path_1,2.5,path_3,2.0,path_3,3.0,path_1,2.67,path_1,2.67,path_1,3.0,path_1,2.5,path_1,2.5,path_1,2.5,path_1,2.5,path_1,2.0,path_1,2.5,path_1,2.6,path_2,3.0,path_3,2.0,path_1,2.5,path_1,2.0,path_1,2.0,path_1,2.5,path_1,2.68,path_1,2.61,path_1,2.5,path_1,2.5,path_1,2.5,path_3,2.0,path_1,2.0,path_1,2.5,path_1,2.5,path_1,2.75,path_1,2.5,path_1,2.62,path_1,2.62,path_1,2.62,path_1,2.0,path_1,2.5,path_1,2.0,69.58,5.0,6.0,0.0,0.0,0.0,0.0
