timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,30.036373796561243,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,3.24,path_1,4.07,path_1,2.0,path_1,5.35,path_1,5.38,path_1,2.0,14.04,19.22,1.23,0.0,0.0,0.0,0.0
1,40.03637379656124,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,4.24,path_1,5.07,path_1,3.0,path_1,6.35,path_1,6.38,path_1,3.0,30.04,0,0,0.0,0.0,0.0,0.0
2,50.03637379656124,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,5.24,path_1,6.07,path_1,4.0,path_1,7.35,path_1,7.38,path_1,4.0,40.04,0,0,0.0,0.0,0.0,0.0
3,60.03637379656124,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,6.24,path_1,7.07,path_1,5.0,path_1,8.35,path_1,8.38,path_1,5.0,50.04,0,0,0.0,0.0,0.0,0.0
4,70.03637379656124,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,7.24,path_1,8.07,path_1,6.0,path_1,9.35,path_1,9.38,path_1,6.0,60.04,0,0,0.0,0.0,0.0,0.0
5,80.03637379656124,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,8.24,path_1,9.07,path_1,7.0,path_1,10.35,path_1,10.38,path_1,7.0,70.04,0,0,0.0,0.0,0.0,0.0
6,90.03637379656124,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,9.24,path_1,10.07,path_1,8.0,path_1,11.35,path_1,11.38,path_1,8.0,80.04,0,0,0.0,0.0,0.0,0.0
7,100.03637379656124,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,10.24,path_1,11.07,path_1,9.0,path_1,12.35,path_1,12.38,path_1,9.0,90.04,0,0,0.0,0.0,0.0,0.0
8,50.01818689828062,path_1,4.5,path_1,4.5,path_1,4.5,path_1,4.5,path_1,5.12,path_1,5.54,path_1,4.5,path_1,6.17,path_1,6.19,path_1,4.5,100.04,0,0,0.04,0.0,0.0,0.04
9,60.01818689828062,path_1,5.5,path_1,5.5,path_1,5.5,path_1,5.5,path_1,6.12,path_1,6.54,path_1,5.5,path_1,7.17,path_1,7.19,path_1,5.5,50.02,0,0,0.0,0.0,0.0,0.0
10,70.01818689828062,path_1,6.5,path_1,6.5,path_1,6.5,path_1,6.5,path_1,7.12,path_1,7.54,path_1,6.5,path_1,8.17,path_1,8.19,path_1,6.5,60.02,0,0,0.0,0.0,0.0,0.0
11,80.01818689828062,path_1,7.5,path_1,7.5,path_1,7.5,path_1,7.5,path_1,8.12,path_1,8.54,path_1,7.5,path_1,9.17,path_1,9.19,path_1,7.5,70.02,0,0,0.0,0.0,0.0,0.0
12,90.01818689828062,path_1,8.5,path_1,8.5,path_1,8.5,path_1,8.5,path_1,9.12,path_1,9.54,path_1,8.5,path_1,10.17,path_1,10.19,path_1,8.5,80.02,0,0,0.0,0.0,0.0,0.0
13,100.01818689828062,path_1,9.5,path_1,9.5,path_1,9.5,path_1,9.5,path_1,10.12,path_1,10.54,path_1,9.5,path_1,11.17,path_1,11.19,path_1,9.5,90.02,0,0,0.0,0.0,0.0,0.0
14,50.00909344914031,path_1,4.75,path_1,4.75,path_1,4.75,path_1,4.75,path_1,5.06,path_1,5.27,path_1,4.75,path_1,5.59,path_1,5.6,path_1,4.75,100.02,0,0,0.02,0.0,0.0,0.02
15,60.00909344914031,path_1,5.75,path_1,5.75,path_1,5.75,path_1,5.75,path_1,6.06,path_1,6.27,path_1,5.75,path_1,6.59,path_1,6.6,path_1,5.75,50.01,0,0,0.0,0.0,0.0,0.0
16,70.00909344914031,path_1,6.75,path_1,6.75,path_1,6.75,path_1,6.75,path_1,7.06,path_1,7.27,path_1,6.75,path_1,7.59,path_1,7.6,path_1,6.75,60.01,0,0,0.0,0.0,0.0,0.0
17,80.00909344914031,path_1,7.75,path_1,7.75,path_1,7.75,path_1,7.75,path_1,8.06,path_1,8.27,path_1,7.75,path_1,8.59,path_1,8.6,path_1,7.75,70.01,0,0,0.0,0.0,0.0,0.0
18,90.00909344914031,path_1,8.75,path_1,8.75,path_1,8.75,path_1,8.75,path_1,9.06,path_1,9.27,path_1,8.75,path_1,9.59,path_1,9.6,path_1,8.75,80.01,0,0,0.0,0.0,0.0,0.0
19,100.00909344914031,path_1,9.75,path_1,9.75,path_1,9.75,path_1,9.75,path_1,10.06,path_1,10.27,path_1,9.75,path_1,10.59,path_1,10.6,path_1,9.75,90.01,0,0,0.0,0.0,0.0,0.0
20,50.004546724570154,path_1,4.88,path_1,4.88,path_1,4.88,path_1,4.88,path_1,5.03,path_1,5.13,path_1,4.88,path_1,5.29,path_1,5.3,path_1,4.88,100.01,0,0,0.01,0.0,0.0,0.01
21,60.004546724570154,path_1,5.88,path_1,5.88,path_1,5.88,path_1,5.88,path_1,6.03,path_1,6.13,path_1,5.88,path_1,6.29,path_1,6.3,path_1,5.88,50.0,0,0,0.0,0.0,0.0,0.0
22,70.00454672457016,path_1,6.88,path_1,6.88,path_1,6.88,path_1,6.88,path_1,7.03,path_1,7.13,path_1,6.88,path_1,7.29,path_1,7.3,path_1,6.88,60.0,0,0,0.0,0.0,0.0,0.0
23,80.00454672457016,path_1,7.88,path_1,7.88,path_1,7.88,path_1,7.88,path_1,8.03,path_1,8.13,path_1,7.88,path_1,8.29,path_1,8.3,path_1,7.88,70.0,0,0,0.0,0.0,0.0,0.0
