timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,26.19787422414055,path_1,3.81,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.9,path_1,4.98,path_1,2.0,path_1,2.0,path_1,2.51,10.2,5.44,14.93,0.0,0.0,0.0,0.0
1,36.19787422414055,path_1,4.81,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.9,path_1,5.98,path_1,3.0,path_1,3.0,path_1,3.51,26.2,0,0,0.0,0.0,0.0,0.0
2,46.19787422414055,path_1,5.81,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.9,path_1,6.98,path_1,4.0,path_1,4.0,path_1,4.51,36.2,0,0,0.0,0.0,0.0,0.0
3,56.19787422414055,path_1,6.81,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.9,path_1,7.98,path_1,5.0,path_1,5.0,path_1,5.51,46.2,0,0,0.0,0.0,0.0,0.0
4,66.19787422414055,path_1,7.81,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.9,path_1,8.98,path_1,6.0,path_1,6.0,path_1,6.51,56.2,0,0,0.0,0.0,0.0,0.0
5,76.19787422414055,path_1,8.81,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.9,path_1,9.98,path_1,7.0,path_1,7.0,path_1,7.51,66.2,0,0,0.0,0.0,0.0,0.0
6,86.19787422414055,path_1,9.81,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.9,path_1,10.98,path_1,8.0,path_1,8.0,path_1,8.51,76.2,0,0,0.0,0.0,0.0,0.0
7,96.19787422414055,path_1,10.81,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.9,path_1,11.98,path_1,9.0,path_1,9.0,path_1,9.51,86.2,0,0,0.0,0.0,0.0,0.0
8,106.19787422414055,path_1,11.81,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.9,path_1,12.98,path_1,10.0,path_1,10.0,path_1,10.51,96.2,0,0,0.0,0.0,0.0,0.0
9,53.098937112070274,path_1,5.9,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.45,path_1,6.49,path_1,5.0,path_1,5.0,path_1,5.25,106.2,0,0,6.2,0.0,0.0,6.2
10,63.098937112070274,path_1,6.9,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.45,path_1,7.49,path_1,6.0,path_1,6.0,path_1,6.25,53.1,0,0,0.0,0.0,0.0,0.0
11,73.09893711207027,path_1,7.9,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.45,path_1,8.49,path_1,7.0,path_1,7.0,path_1,7.25,63.1,0,0,0.0,0.0,0.0,0.0
12,83.09893711207027,path_1,8.9,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.45,path_1,9.49,path_1,8.0,path_1,8.0,path_1,8.25,73.1,0,0,0.0,0.0,0.0,0.0
13,93.09893711207027,path_1,9.9,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.45,path_1,10.49,path_1,9.0,path_1,9.0,path_1,9.25,83.1,0,0,0.0,0.0,0.0,0.0
14,103.09893711207027,path_1,10.9,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.45,path_1,11.49,path_1,10.0,path_1,10.0,path_1,10.25,93.1,0,0,0.0,0.0,0.0,0.0
15,51.54946855603514,path_1,5.45,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.23,path_1,5.75,path_1,5.0,path_1,5.0,path_1,5.13,103.1,0,0,3.1,0.0,0.0,3.1
16,61.54946855603514,path_1,6.45,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.23,path_1,6.75,path_1,6.0,path_1,6.0,path_1,6.13,51.55,0,0,0.0,0.0,0.0,0.0
17,71.54946855603514,path_1,7.45,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.23,path_1,7.75,path_1,7.0,path_1,7.0,path_1,7.13,61.55,0,0,0.0,0.0,0.0,0.0
18,81.54946855603514,path_1,8.45,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.23,path_1,8.75,path_1,8.0,path_1,8.0,path_1,8.13,71.55,0,0,0.0,0.0,0.0,0.0
19,91.54946855603514,path_1,9.45,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.23,path_1,9.75,path_1,9.0,path_1,9.0,path_1,9.13,81.55,0,0,0.0,0.0,0.0,0.0
20,101.54946855603514,path_1,10.45,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.23,path_1,10.75,path_1,10.0,path_1,10.0,path_1,10.13,91.55,0,0,0.0,0.0,0.0,0.0
21,50.77473427801757,path_1,5.23,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.11,path_1,5.37,path_1,5.0,path_1,5.0,path_1,5.06,101.55,0,0,1.55,0.0,0.0,1.55
22,60.77473427801757,path_1,6.23,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.11,path_1,6.37,path_1,6.0,path_1,6.0,path_1,6.06,50.77,0,0,0.0,0.0,0.0,0.0
23,70.77473427801758,path_1,7.23,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.11,path_1,7.37,path_1,7.0,path_1,7.0,path_1,7.06,60.77,0,0,0.0,0.0,0.0,0.0
24,80.77473427801758,path_1,8.23,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.11,path_1,8.37,path_1,8.0,path_1,8.0,path_1,8.06,70.77,0,0,0.0,0.0,0.0,0.0
