timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,agent_10_path,agent_10_cwnd,agent_11_path,agent_11_cwnd,agent_12_path,agent_12_cwnd,agent_13_path,agent_13_cwnd,agent_14_path,agent_14_cwnd,agent_15_path,agent_15_cwnd,agent_16_path,agent_16_cwnd,agent_17_path,agent_17_cwnd,agent_18_path,agent_18_cwnd,agent_19_path,agent_19_cwnd,agent_20_path,agent_20_cwnd,agent_21_path,agent_21_cwnd,agent_22_path,agent_22_cwnd,agent_23_path,agent_23_cwnd,agent_24_path,agent_24_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,66.59112329556478,path_3,2.0,path_3,2.0,path_3,2.0,path_3,2.77,path_3,2.0,path_3,2.0,path_3,4.1,path_3,5.11,path_3,2.0,path_3,2.0,path_1,2.0,path_1,3.01,path_1,3.1,path_1,5.42,path_1,2.0,path_1,5.51,path_1,2.03,path_1,2.0,path_1,3.55,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,path_1,2.0,27.6,25.08,16.65,0.0,0.0,0.0,0.0
1,91.59112329556478,path_3,3.0,path_3,3.0,path_3,3.0,path_3,3.77,path_3,3.0,path_3,3.0,path_3,5.1,path_3,6.11,path_3,3.0,path_3,3.0,path_1,3.0,path_1,4.01,path_1,4.1,path_1,6.42,path_1,3.0,path_1,6.51,path_1,3.03,path_1,3.0,path_1,4.55,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,40.61,0,25.98,0.0,0.0,0.0,0.0
2,116.59112329556478,path_3,4.0,path_3,4.0,path_3,4.0,path_3,4.77,path_3,4.0,path_3,4.0,path_3,6.1,path_3,7.11,path_3,4.0,path_3,4.0,path_1,4.0,path_1,5.01,path_1,5.1,path_1,7.42,path_1,4.0,path_1,7.51,path_1,4.03,path_1,4.0,path_1,5.55,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,55.61,0,35.98,0.0,0.0,0.0,0.0
3,141.59112329556478,path_3,5.0,path_3,5.0,path_3,5.0,path_3,5.77,path_3,5.0,path_3,5.0,path_3,7.1,path_3,8.11,path_3,5.0,path_3,5.0,path_1,5.0,path_1,6.01,path_1,6.1,path_1,8.42,path_1,5.0,path_1,8.51,path_1,5.03,path_1,5.0,path_1,6.55,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,70.61,0,45.98,0.0,0.0,0.0,0.0
4,166.59112329556478,path_3,6.0,path_3,6.0,path_3,6.0,path_3,6.77,path_3,6.0,path_3,6.0,path_3,8.1,path_3,9.11,path_3,6.0,path_3,6.0,path_1,6.0,path_1,7.01,path_1,7.1,path_1,9.42,path_1,6.0,path_1,9.51,path_1,6.03,path_1,6.0,path_1,7.55,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,85.61,0,55.98,0.0,0.0,0.0,0.0
5,126.28496009200681,path_3,7.0,path_3,7.0,path_3,7.0,path_3,7.77,path_3,7.0,path_3,7.0,path_3,9.1,path_3,10.11,path_3,7.0,path_3,7.0,path_1,3.0,path_1,3.5,path_1,3.55,path_1,4.71,path_1,3.0,path_1,4.76,path_1,3.02,path_1,3.0,path_1,3.77,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,path_1,3.0,100.61,0,65.98,0.61,0.0,0.0,0.61
6,151.2849600920068,path_3,8.0,path_3,8.0,path_3,8.0,path_3,8.77,path_3,8.0,path_3,8.0,path_3,10.1,path_3,11.11,path_3,8.0,path_3,8.0,path_1,4.0,path_1,4.5,path_1,4.55,path_1,5.71,path_1,4.0,path_1,5.76,path_1,4.02,path_1,4.0,path_1,4.77,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,path_1,4.0,50.31,0,75.98,0.0,0.0,0.0,0.0
7,123.29556164778239,path_3,4.0,path_3,4.0,path_3,4.0,path_3,4.39,path_3,4.0,path_3,4.0,path_3,5.05,path_3,5.55,path_3,4.0,path_3,4.0,path_1,5.0,path_1,5.5,path_1,5.55,path_1,6.71,path_1,5.0,path_1,6.76,path_1,5.02,path_1,5.0,path_1,5.77,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,65.31,0,85.98,0.0,0.0,5.98,5.98
8,148.2955616477824,path_3,5.0,path_3,5.0,path_3,5.0,path_3,5.39,path_3,5.0,path_3,5.0,path_3,6.05,path_3,6.55,path_3,5.0,path_3,5.0,path_1,6.0,path_1,6.5,path_1,6.55,path_1,7.71,path_1,6.0,path_1,7.76,path_1,6.02,path_1,6.0,path_1,6.77,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,80.31,0,42.99,0.0,0.0,0.0,0.0
9,173.2955616477824,path_3,6.0,path_3,6.0,path_3,6.0,path_3,6.39,path_3,6.0,path_3,6.0,path_3,7.05,path_3,7.55,path_3,6.0,path_3,6.0,path_1,7.0,path_1,7.5,path_1,7.55,path_1,8.71,path_1,7.0,path_1,8.76,path_1,7.02,path_1,7.0,path_1,7.77,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,95.31,0,52.99,0.0,0.0,0.0,0.0
