2025-08-01 10:28:50 - === Starting all simulations ===
2025-08-01 10:28:59 - 
=== Oscillation and Loss Comparison Summary ===
2025-08-01 10:28:59 - MIN_RTT with 10 agents Osc: 6.60, Loss: 0.05 Mbps, Fairness: 0.95, Efficiency: 74.70, Stability: 0.13, LossAvoid: 0.95
2025-08-01 10:28:59 - MIN_RTT with 25 agents Osc: 8.04, Loss: 0.23 Mbps, Fairness: 0.93, Efficiency: 75.54, Stability: 0.11, LossAvoid: 0.81
2025-08-01 10:28:59 - MIN_RTT with 50 agents Osc: 10.76, Loss: 0.88 Mbps, Fairness: 0.89, Efficiency: 76.48, Stability: 0.09, LossAvoid: 0.53
2025-08-01 10:28:59 - MIN_RTT with 100 agents Osc: 20.15, Loss: 49.70 Mbps, Fairness: 0.90, Efficiency: 149.94, Stability: 0.05, LossAvoid: 0.02
2025-08-01 10:28:59 - MIN_RTT with 150 agents Osc: 8.22, Loss: 50.64 Mbps, Fairness: 0.99, Efficiency: 150.44, Stability: 0.11, LossAvoid: 0.02
2025-08-01 10:28:59 - MIN_RTT with 250 agents Osc: 13.30, Loss: 151.42 Mbps, Fairness: 0.99, Efficiency: 250.73, Stability: 0.07, LossAvoid: 0.01
2025-08-01 10:28:59 - MIN_RTT with 500 agents Osc: 26.19, Loss: 403.76 Mbps, Fairness: 0.99, Efficiency: 501.44, Stability: 0.04, LossAvoid: 0.00
2025-08-01 10:28:59 - MIN_LOAD with 10 agents Osc: 7.13, Loss: 0.00 Mbps, Fairness: 1.00, Efficiency: 20.01, Stability: 0.12, LossAvoid: 1.00
2025-08-01 10:28:59 - MIN_LOAD with 25 agents Osc: 17.85, Loss: 0.00 Mbps, Fairness: 1.00, Efficiency: 50.03, Stability: 0.05, LossAvoid: 1.00
2025-08-01 10:28:59 - MIN_LOAD with 50 agents Osc: 35.68, Loss: 0.13 Mbps, Fairness: 1.00, Efficiency: 100.06, Stability: 0.03, LossAvoid: 0.89
2025-08-01 10:28:59 - MIN_LOAD with 100 agents Osc: 68.87, Loss: 50.30 Mbps, Fairness: 1.00, Efficiency: 200.20, Stability: 0.01, LossAvoid: 0.02
2025-08-01 10:29:00 - MIN_LOAD with 150 agents Osc: 106.09, Loss: 150.09 Mbps, Fairness: 1.00, Efficiency: 299.94, Stability: 0.01, LossAvoid: 0.01
2025-08-01 10:29:00 - MIN_LOAD with 250 agents Osc: 171.15, Loss: 350.17 Mbps, Fairness: 1.00, Efficiency: 499.89, Stability: 0.01, LossAvoid: 0.00
2025-08-01 10:29:00 - MIN_LOAD with 500 agents Osc: 353.13, Loss: 850.92 Mbps, Fairness: 1.00, Efficiency: 999.75, Stability: 0.00, LossAvoid: 0.00
2025-08-01 10:29:00 - ATTRIBUTE_AWARE with 10 agents Osc: 6.50, Loss: 0.02 Mbps, Fairness: 0.95, Efficiency: 74.56, Stability: 0.13, LossAvoid: 0.98
2025-08-01 10:29:00 - ATTRIBUTE_AWARE with 25 agents Osc: 7.85, Loss: 0.30 Mbps, Fairness: 0.93, Efficiency: 75.74, Stability: 0.11, LossAvoid: 0.77
2025-08-01 10:29:00 - ATTRIBUTE_AWARE with 50 agents Osc: 10.52, Loss: 0.86 Mbps, Fairness: 0.90, Efficiency: 76.46, Stability: 0.09, LossAvoid: 0.54
2025-08-01 10:29:00 - ATTRIBUTE_AWARE with 100 agents Osc: 20.42, Loss: 49.70 Mbps, Fairness: 0.90, Efficiency: 149.95, Stability: 0.05, LossAvoid: 0.02
2025-08-01 10:29:00 - ATTRIBUTE_AWARE with 150 agents Osc: 8.29, Loss: 50.63 Mbps, Fairness: 0.99, Efficiency: 150.44, Stability: 0.11, LossAvoid: 0.02
2025-08-01 10:29:00 - ATTRIBUTE_AWARE with 250 agents Osc: 13.55, Loss: 151.48 Mbps, Fairness: 0.98, Efficiency: 250.72, Stability: 0.07, LossAvoid: 0.01
